text,reply_to_message_id,mentioned
"Все зависит от авиакомпании, и от самого билета. Нужно заранее ознакомиться с условиями возврата. В каждом билете они индивидуальные",1453137,False
А вот так кто- то делал? Всю сумму возвращают?,1453126,False
"Ольга, . . Это мошенник",1453130,False
Я поняла уже) спасибо!,1453133,False
Это мошенник,1453131,False
Спасибо!,,False
"Нет, депортировали",1453128,False
Получилось?,1453127,False
Да,1453124,False
"А если возвратный покупать, там всю сумму обычно за билет возвращают в случае возврата?",,False
Купите обратный билет,1453124,False
А кто- то пользовался данным сервисом? Есть опыт?,,False
Серьезно?,1453122,False
Депортация,1453119,False
"Всем привет! Скажите, пжл, если бронировать обратный билет через сервис купитрип, какие последствия могут быть, если поймут, что это фейковая бронь? Штраф или еще что?",,False
,,False
Ищу машину для 6 человек,,False
"Привет) я бы с удовольствием к Вам приехала, но пока не выезжаю (после аварии)

Если не найдете, приезжайте ко мне в Чангу 🙏",1453053,False
"Добрый день! Я бы с удовольствием к Вам приехала, но пока (после аварии не выездная) 

Напишите Ирине @v_esna может она приедет на дом",1452996,False
Спасибо),1453092,False
"Приветик!!! Подскажите, кто был на практиках интересных, напишите пожалуйста 🤌🏾",,False
"Добрый день! Возникла проблема с imei, пытались обращаться к человеку, который занимается разблокировкой imei, но симка так и не стала работать, пишет, что имей не зарегистрирован. Но в офисе телкомсел, где покупали симку сказали, что imei зареган. Может ли быть такое, что дело просто в самой симке? 

Кто может помочь разобраться с этим?",,False
Здравствуйте ! Подскажите дрон для личного использования нужно регистрировать ? Если да - то как это сделать ? Заранее благодарю .,,False
Куплю билет на руфус,,False
Напишите в лс,1453080,False
,,False
Есть хорошая фирма,1453093,False
"Приветствую всех. 
Будем на Бали с 5 января по 1 февраля в районе Куты. 
Подскажите пожалуйста компанию ( желательно с русскоговорящими), где можно арендовать хороший новый байк 150 кубов с доставкой до отеля по хорошей цене. 
Заранее благодарен",,False
"Лучшие в своём деле 
Всегда заказываем у них 

https://www.instagram.com/botanic_house_bali?igsh=MTFuOGF2ZGpidXJq",1453063,False
Кто-то играет в мафию? Напишите в лс:),,False
"Всем спасибо, поняла",,False
рекомендую Андо. персоналки в любом месте - @ando_444,1453069,False
"Дешево нигде 

Проверьте группы с объявлениями",1453086,False
"Ребята, где можно найти качественную икру в Чангу ?)",,False
Рекомендуем @ando_444,1453069,False
Привет! Может у кого-нибудь есть щенки в добрые руки ?,,False
"В Бали ММА заедь, бро",1453081,False
Куплю Gi ( кимоно для BJJ ),,False
Не получается,1453079,False
Напишите в личку какая будет сумма по итогу,1453078,False
На 30% дешевле,1453074,False
da! Ando! xoroshiy trener,1453069,False
+7 952 363 0320,1452998,False
Какая цена?,1453024,False
@ando_444,1453069,False
"Добрый день, подскажите хорошие залы с тренерами по боксу
Или просто тренеров по боксу в Чангу",,False
"Привет! Не знаете, кто мог бы приехать на виллу и погладить вещи за плату на месте? 

Лаундри только забирают и привозят обратно",,False
"Всем привет!


Кто нибудь летит с Бали сегодня или завтра или 29 до Пхукета?",,False
,,False
"Всем привет!
Если ли билеты на нойза сегодня?",,False
"Кто летит Москва Бали ?Посылка за хорошую оплату, привезёт водитель, на Бали наш трансфер с аэропорта . Все легально. 
Оплата 100$ за 1 кг кто прилетает до нового года ☺️",,False
И порекомендуйте доставки букетов красивых),,False
"Друзья, как  планируете встретить Новый год 🤶 
Где лучше всего закупиться фейерверками в Чангу?)",,False
"Ребята, посоветуйте пожалуйста хорошую прачечную в убуд 🫶🏻",,False
"Всем привет) Подскажите, пожалуйста, у кого-нибудь есть контакты клининга в Чангу ?)",,False
Ищу учителя по фортепиано на русском и английском языке,,False
Это я хз,1453057,False
Они же в ноябре повысили . 25 или 30 вроде,1453041,False
"Привет! Кто нибудь знает, где можно купить зарядку для колонки Harman Kordon? Не хочу заказывать с токо. 
Она 19w и похожа на jack",,False
Привет) кто знает хороший маникюрный салон в улувату?🥹,,False
"Ребят, кто посоветует хорошую стоматологию, в убуде или может даже есть те, кто знает русских дантистов здесь
Подскажите пожалуйста 🙏🏻❤️",,False
Напишите в чат по работе и чат фото/видео. Там иногда ищут моделей,1453005,False
Всем привет! Кто-то оформлял страховку евроинс? Есть успешные кейсы?),,False
❓ Помощь,,False
уже обрадовался что 60 😞,,False
"я вот только что тут нашел:
https://www.permatabank.com/en/digital-channel/permatanet/limit-dan-biaya

Personal card: 60mln. 
PermataTabungan Bintang or SimPel: 10mln",1453041,False
Ребята подскажите где какие вечеринки будут на Новый год? Кто где организовывает ??,,False
10 млн,1453040,False
"Ребят, кто знает какая максимальная сумма для оплаты в интернете для зеленой пермата карты ? Помню был лимит, но на сайте нихрена не понятно.",,False
"Привет! Подскажите, есть фотомагазин купить нашейный ремень для камеры sony/canon?",,False
"Ребят, подскажите, а где-то можно арендовать плойку 5ю на месяц?",,False
"Всем привет. подскажите, пожалуйста, куда можно походить на индив тренировки по пилатесу ? Может есть контакты проверенные у кого",,False
"Привет, ищу байк в аренду с 2 по 31 января с доставкой на виллу (и забором оттуда же)",,False
"Ищем девушку для съемки нового бренда купальников в красивых локациях.

Все подробности в ЛС @annet_vr",,False
Приложение гоуджек. И в нём гоу март,1452948,False
В токопедии,1452948,False
не могу 🤷‍♂️,1453025,False
Напишите в личку,1453021,False
"Кому нужны 4 билета на Гуф, Каспийский, Гиопика, все в один день 4 января пишите в личку",,False
"Здравствуйте!
Кто летит из Москвы на Бали до НГ? Посылка за оплату. Пожалуйста, в лс 🙏",,False
+,1453004,False
Спасибо 🤗,1453011,False
Спасибо 🤗,1453012,False
Не сложно,1453013,False
не сложно)),1453013,False
"А живые евро не сложно поменять на местную валюту,или лучше доллары везти?",,False
"да, много частных обменников. вы им кидаете рубли на тот же Тинь, а они вам рупии наличными",1453009,False
"возможно. переводите меняле рубли, он вам дает кэш рупии, изи",1453009,False
"Спасибо за информацию. А как возможно поменять онлайн рубли там, подскажите, пожалуйста? С любой карты?",1453007,False
"нет, лучше везите наличные доллары. либо тут есть много обменников, сможете поменять онлайн рубли прямо тут",1453000,False
У вас есть рабочая виза? ...Можно депортацию заработать,1453005,False
"Здравствуйте, тут есть модельные агенства? Я хотела бы узнать какие есть варианты заработать моделью здесь на Бали, может быть съёмки для рекламы одежды и тд, но у меня нет портфолио, напишите пожалуйста если есть предложения",,False
"Всем привет, кто меняет рубли на рупии ?👋🏼",,False
Вам не написать ),1452962,False
в маркет чате есть,1452999,False
"Добрый день! Подскажите, пожалуйста, если в РФ открыть валютную карту в долларах, можно ли ею рассчитываться на Бали?",,False
"Подскажите где купить красную икру 
( горбушу )?",,False
"Дорогие!
Я хочу в ближайшие два месяца плотно заняться дисциплиной. 
Нужен человек с которым буду тренировать минимум 3 раза в неделю, кто сможет помочь отстроить питание без ограничений.  
С твёрдый рукой и прокачанной эмпатичностью)

Есть тут тренера, кто может взять меня под ключ?)",,False
"Добрый день! Кто-то может подсказать мастера по маникюру в Нуса Дуа, желательно чтобы домой могли приехать? Спасибо",,False
"Напишите в лс 
Наш адрес 

https://maps.app.goo.gl/n9XDRyuA4tVbSCfQ6?g_st=ic",1452100,False
,,False
Eden Hookah Club Canggu,1452764,False
"Поделитесь русским чатом по Тайланду  плиз, у кого есть",,False
"Можете контактом поделиться, где елку нашли",1439924,False
"Спасибо! Интересно, а билет одной авиакомпанией с пересадкой в Куала-Лумпуре подойдет? или нужно именно раздельный (разными авиакомпаниями)",1451413,False
"Подскажите, пожалуйста, эффективное средство для лечения открытой раны и ушиба тоже🙏🏻🙏🏻",,False
"Кто летит до нг Москва бали ? 4-5 кг, плачу дорого  🙌 встречу в аеропорту",,False
"Подскажите, пожалуйста с хорошее кафе на джимабране, можно веганское",,False
"🏝️Добрый, кто из Питера летит на Бали в ближайшее время?",,False
"Убуд. с сегодняшнего дня ищем соседей на шикарную виллу с бассейном, по-суточно или на долго-срок. Не-дорого!. Пишите!",,False
Батлер,1452963,False
"Так спросите любого балийца или мимо стройки пройти, найти прораба. Малярить не проблема, местные сориентируют",1452779,False
Спасибо большое!,1452965,False
Только к ней хожу,,False
